#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
155,Ersan Ilyasova,PHI,69,25.1,4.0,8.9,.452,1.3,3.7,.360,1.5,2.0,.778,1.0,2.3,1.7,4.2,5.9,1.3,0.9,0.4,10.9
156,Joe Harris,BRK,78,25.3,3.9,8.0,.491,1.9,4.6,.419,1.1,1.3,.827,1.2,2.0,0.7,2.7,3.3,1.6,0.4,0.3,10.8
157,Jeff Green,CLE,78,23.4,3.8,7.9,.477,0.7,2.2,.312,2.6,3.0,.868,1.0,1.9,0.8,2.4,3.2,1.3,0.5,0.4,10.8
158,James Johnson,MIA,73,26.6,4.2,8.4,.503,0.8,2.5,.308,1.5,2.2,.698,1.9,2.6,0.8,4.1,4.9,3.8,1.0,0.7,10.8
159,Damion Lee,ATL,15,27.0,4.1,10.1,.408,1.0,4.0,.250,1.5,1.9,.759,0.9,1.7,0.7,4.0,4.7,1.9,1.3,0.1,10.7
160,John Collins,ATL,74,24.1,4.2,7.4,.576,0.2,0.6,.340,1.8,2.5,.715,1.4,2.9,2.4,4.9,7.3,1.3,0.6,1.1,10.5
161,JaMychal Green,MEM,55,28.0,4.1,8.9,.457,0.8,2.3,.339,1.5,2.0,.721,1.4,2.8,2.7,5.8,8.4,1.4,0.6,0.5,10.3
162,Jamal Crawford,MIN,80,20.7,3.9,9.3,.415,1.3,3.9,.331,1.3,1.4,.903,1.2,1.1,0.3,1.0,1.2,2.3,0.5,0.1,10.3
163,Greg Monroe,BOS,51,20.4,4.3,7.6,.565,0.0,0.0,.000,1.7,2.3,.739,1.8,1.9,2.1,4.7,6.9,2.2,0.9,0.5,10.3
164,Yogi Ferrell,DAL,82,27.8,3.8,8.9,.426,1.6,4.4,.373,1.0,1.3,.796,1.0,1.9,0.3,2.7,3.0,2.5,0.8,0.1,10.2
165,D.J. Augustin,ORL,75,23.5,3.3,7.2,.452,1.5,3.6,.419,2.2,2.5,.868,1.6,1.3,0.4,1.7,2.1,3.8,0.7,0.0,10.2
166,Marcus Smart,BOS,54,29.9,3.5,9.5,.367,1.4,4.6,.301,1.8,2.5,.729,2.4,2.5,0.8,2.7,3.5,4.8,1.3,0.4,10.2
167,Denzel Valentine,CHI,77,27.2,3.9,9.4,.417,1.9,4.8,.386,0.5,0.7,.745,1.3,2.4,0.6,4.5,5.1,3.2,0.8,0.1,10.2
168,Lonzo Ball,LAL,52,34.2,3.9,10.8,.360,1.7,5.7,.305,0.6,1.4,.451,2.6,2.2,1.3,5.6,6.9,7.2,1.7,0.8,10.2
169,Pau Gasol,SAS,77,23.5,3.7,8.1,.458,0.6,1.6,.358,2.1,2.7,.756,1.4,1.6,1.7,6.4,8.0,3.1,0.3,1.0,10.1
170,Patty Mills,SAS,82,25.7,3.4,8.3,.411,1.9,5.0,.372,1.3,1.4,.890,1.3,1.6,0.3,1.6,1.9,2.8,0.7,0.1,10.0
171,C.J. Miles,TOR,70,19.1,3.2,8.6,.379,2.3,6.5,.361,1.2,1.4,.835,0.6,1.9,0.3,1.9,2.2,0.8,0.5,0.3,10.0
172,Wilson Chandler,DEN,74,31.7,3.8,8.5,.445,1.2,3.3,.358,1.2,1.5,.772,1.2,2.1,1.4,4.0,5.4,2.2,0.6,0.5,10.0
173,George Hill,CLE,67,27.0,3.5,7.7,.460,1.3,3.1,.415,1.6,2.1,.786,1.3,1.9,0.6,2.1,2.7,2.8,0.9,0.4,10.0
174,Dewayne Dedmon,ATL,62,24.9,4.0,7.7,.524,0.8,2.3,.355,1.1,1.4,.779,1.4,2.6,1.6,6.3,7.9,1.5,0.6,0.8,10.0
175,Trey Lyles,DEN,73,19.0,3.7,7.5,.491,1.1,3.0,.381,1.4,2.0,.706,0.8,1.5,0.8,4.0,4.8,1.2,0.4,0.5,9.9
176,Tyrone Wallace,LAC,30,28.4,3.7,8.2,.445,0.3,1.3,.250,2.0,2.6,.782,1.5,2.8,0.7,2.8,3.5,2.4,0.9,0.4,9.7
177,Jae Crowder,UTA,80,26.1,3.4,8.4,.404,1.4,4.3,.323,1.5,1.9,.818,0.9,2.3,0.7,2.7,3.4,1.2,0.8,0.3,9.7
178,Mario Hezonja,ORL,75,22.1,3.6,8.2,.442,1.2,3.6,.337,1.1,1.4,.819,1.1,1.8,0.5,3.2,3.7,1.4,1.1,0.4,9.6
179,Marvin Williams,CHA,78,25.7,3.3,7.2,.458,1.6,3.9,.413,1.3,1.6,.829,0.8,1.5,0.9,3.8,4.7,1.2,0.7,0.5,9.5
180,Milos Teodosic,LAC,45,25.2,3.4,8.0,.419,2.0,5.2,.379,0.9,1.0,.848,2.2,2.3,0.4,2.4,2.8,4.6,0.5,0.1,9.5
181,Andrew Harrison,MEM,56,23.7,3.2,7.7,.422,0.8,2.5,.331,2.2,2.8,.780,1.4,2.5,0.4,1.9,2.3,3.2,0.7,0.5,9.5
182,Quinn Cook,GSW,33,22.4,3.7,7.6,.484,1.4,3.2,.442,0.7,0.8,.880,1.0,1.8,0.3,2.2,2.5,2.7,0.4,0.0,9.5
183,Ryan Anderson,HOU,66,26.1,3.1,7.3,.431,2.0,5.1,.386,1.1,1.4,.774,0.6,1.9,1.4,3.6,5.0,0.9,0.4,0.3,9.3
184,Al-Farouq Aminu,POR,69,30.0,3.3,8.4,.395,1.8,4.9,.369,0.9,1.2,.738,1.1,2.0,1.4,6.2,7.6,1.2,1.1,0.6,9.3
185,Mike James,NOP,36,19.1,3.4,8.9,.383,0.7,2.7,.265,1.8,2.3,.762,1.4,1.3,0.4,2.1,2.5,3.5,0.8,0.2,9.3
186,Wayne Selden,MEM,35,19.8,3.3,7.7,.431,1.4,3.5,.402,1.3,1.7,.746,1.5,1.7,0.5,1.1,1.6,1.9,0.5,0.1,9.3
187,Lance Stephenson,IND,82,22.6,3.7,8.6,.427,0.8,2.8,.289,1.0,1.5,.661,1.6,2.2,0.8,4.4,5.2,2.9,0.6,0.2,9.2
188,Kyle Korver,CLE,73,21.6,3.0,6.6,.459,2.2,5.2,.436,0.9,1.0,.889,0.8,1.8,0.1,2.1,2.3,1.2,0.4,0.4,9.2
189,Michael Kidd-Gilchrist,CHA,74,25.0,3.8,7.6,.504,0.0,0.0,.000,1.6,2.3,.684,0.7,1.9,1.1,2.9,4.1,1.0,0.7,0.4,9.2
190,Anthony Tolliver,DET,79,22.2,2.8,6.0,.464,2.0,4.6,.436,1.3,1.7,.797,0.7,1.8,0.6,2.4,3.1,1.1,0.4,0.3,8.9
191,Troy Daniels,PHX,79,20.5,2.9,7.3,.403,2.3,5.8,.400,0.7,0.8,.875,0.7,1.7,0.2,1.5,1.6,0.6,0.3,0.1,8.9
192,Manu Ginobili,SAS,65,20.0,3.1,7.1,.434,1.0,3.0,.333,1.7,2.0,.840,1.6,1.9,0.3,1.9,2.2,2.5,0.7,0.2,8.9
193,Cameron Payne,CHI,25,23.3,3.5,8.6,.405,1.4,3.6,.385,0.5,0.6,.750,1.4,1.8,0.7,2.0,2.8,4.5,1.0,0.4,8.8
194,Mike Scott,WAS,76,18.5,3.6,6.9,.527,0.9,2.1,.405,0.7,1.0,.658,1.0,1.9,0.7,2.6,3.2,1.1,0.3,0.1,8.8
195,John Henson,MIL,76,25.9,3.8,6.6,.572,0.0,0.1,.143,1.2,2.1,.570,1.1,2.7,2.0,4.8,6.8,1.5,0.6,1.4,8.8
196,Johnathan Motley,DAL,11,16.0,3.6,6.8,.533,0.1,0.5,.167,1.4,2.5,.536,0.8,1.6,1.3,3.2,4.5,0.6,0.3,0.2,8.7
197,Skal Labissiere,SAC,60,20.7,3.4,7.6,.448,0.3,0.8,.353,1.6,2.0,.805,1.2,2.2,1.6,3.1,4.8,1.2,0.4,0.8,8.7
198,Terrence Ross,ORL,24,25.0,3.2,8.0,.398,1.2,3.9,.323,1.1,1.5,.750,1.2,1.9,0.4,2.6,3.0,1.6,1.1,0.5,8.7
199,Shabazz Napier,POR,74,20.7,3.0,7.2,.420,1.1,2.9,.376,1.6,1.9,.841,1.2,1.1,0.4,1.9,2.3,2.0,1.1,0.2,8.7
200,"Larry Nance, Jr.",CLE,66,21.5,3.6,6.3,.581,0.0,0.2,.167,1.4,2.1,.664,0.8,2.6,2.4,4.4,6.8,1.2,1.3,0.6,8.7
201,Stanley Johnson,DET,69,27.4,3.0,8.1,.375,1.0,3.4,.286,1.6,2.1,.772,1.1,2.4,0.5,3.2,3.7,1.6,1.4,0.2,8.7
202,Emmanuel Mudiay,NYK,64,19.4,3.2,8.2,.388,0.7,2.3,.318,1.5,2.0,.760,1.8,1.2,0.4,2.0,2.4,3.2,0.6,0.2,8.6
203,Fred VanVleet,TOR,76,20.0,3.1,7.2,.426,1.4,3.4,.414,1.1,1.3,.832,1.0,1.7,0.3,2.1,2.4,3.2,0.9,0.2,8.6
204,Isaiah Canaan,PHX,20,21.1,2.6,6.8,.380,1.1,3.3,.333,2.3,2.5,.902,1.4,1.8,0.3,1.9,2.2,3.8,0.8,0.1,8.6
205,Danny Green,SAS,70,25.6,3.1,8.0,.387,1.7,4.6,.362,0.7,0.9,.769,1.1,1.7,0.6,3.0,3.6,1.6,0.9,1.1,8.6
206,Alex Len,PHX,69,20.2,3.1,5.5,.566,0.0,0.0,.333,2.3,3.3,.684,1.1,2.3,2.5,5.0,7.5,1.2,0.4,0.9,8.5
207,Jonathan Gibson,BOS,4,10.0,3.5,5.8,.609,1.5,3.0,.500,0.0,0.0,.000,0.8,1.2,0.0,0.8,0.8,1.0,0.0,0.0,8.5
208,Dwight Powell,DAL,79,21.2,3.2,5.4,.593,0.4,1.1,.333,1.7,2.3,.719,0.7,2.4,1.7,3.9,5.6,1.2,0.8,0.4,8.5
209,Jerami Grant,OKC,81,20.3,3.0,5.6,.535,0.4,1.4,.291,2.0,3.0,.675,0.7,1.9,1.1,2.9,3.9,0.7,0.4,1.0,8.4
210,Garrett Temple,SAC,65,24.8,3.1,7.3,.418,1.4,3.5,.392,0.9,1.2,.769,1.2,2.1,0.3,2.0,2.3,1.9,0.9,0.4,8.4
211,Marcin Gortat,WAS,82,25.3,3.5,6.8,.518,0.0,0.0,.000,1.3,2.0,.675,1.2,2.1,2.2,5.4,7.6,1.8,0.5,0.7,8.4
212,Devin Harris,DEN,71,18.9,2.6,6.4,.412,1.1,3.2,.348,2.0,2.4,.835,1.1,2.2,0.2,1.6,1.8,2.1,0.7,0.2,8.4
213,Jerian Grant,CHI,74,22.8,2.8,6.8,.416,0.8,2.5,.326,1.9,2.5,.745,1.2,1.8,0.4,1.9,2.3,4.6,0.9,0.1,8.4
214,Derrick Rose,MIN,25,16.8,3.2,7.4,.435,0.3,1.2,.233,1.6,1.8,.870,1.4,0.6,0.5,0.9,1.4,1.5,0.3,0.2,8.4
215,J.R. Smith,CLE,80,28.1,3.0,7.4,.403,1.8,4.8,.375,0.5,0.7,.696,1.0,2.0,0.4,2.6,2.9,1.8,0.8,0.1,8.3
216,Rajon Rondo,NOP,65,26.2,3.6,7.6,.468,0.8,2.3,.333,0.4,0.7,.543,2.3,1.8,0.5,3.6,4.0,8.2,1.1,0.2,8.3
217,Evan Turner,POR,79,25.7,3.3,7.3,.447,0.5,1.7,.318,1.2,1.4,.850,1.3,2.1,0.4,2.7,3.1,2.2,0.6,0.4,8.2
218,Thabo Sefolosha,UTA,38,21.2,3.1,6.3,.492,0.8,2.2,.381,1.2,1.4,.815,0.8,1.6,0.8,3.5,4.2,0.9,1.4,0.3,8.2
219,Jarrett Allen,BRK,72,20.0,3.2,5.5,.589,0.1,0.2,.333,1.6,2.0,.776,1.1,2.0,2.0,3.4,5.4,0.7,0.4,1.2,8.2
220,Dante Exum,UTA,14,16.8,3.0,6.2,.483,0.4,1.3,.278,1.8,2.2,.806,1.4,1.4,0.3,1.6,1.9,3.1,0.6,0.2,8.1
221,Dejounte Murray,SAS,81,21.5,3.3,7.5,.443,0.1,0.4,.265,1.3,1.8,.709,1.7,1.9,1.4,4.3,5.7,2.9,1.2,0.4,8.1
222,Delon Wright,TOR,69,20.8,2.9,6.3,.465,0.8,2.2,.366,1.4,1.7,.829,1.1,1.2,0.7,2.2,2.9,2.9,1.0,0.5,8.0
223,Aaron Jackson,HOU,1,34.5,3.0,9.0,.333,1.0,4.0,.250,1.0,2.0,.500,1.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,8.0
224,Antonio Blakeney,CHI,19,16.5,2.8,7.5,.371,0.8,2.7,.288,1.6,2.1,.769,0.6,1.0,0.2,1.5,1.7,1.1,0.4,0.1,7.9
225,Frank Mason,SAC,52,18.9,2.8,7.3,.379,0.6,1.7,.360,1.8,2.2,.817,1.2,1.4,0.6,1.9,2.5,2.8,0.7,0.2,7.9
226,David Nwaba,CHI,70,23.5,2.9,6.0,.478,0.3,0.7,.346,1.9,2.9,.655,1.1,2.3,1.3,3.4,4.7,1.5,0.8,0.4,7.9
227,Cory Joseph,IND,82,26.9,3.1,7.4,.424,0.8,2.3,.353,0.9,1.1,.745,1.1,1.7,0.5,2.7,3.2,3.2,1.0,0.2,7.9
228,Kyle Anderson,SAS,74,26.7,3.1,5.9,.527,0.3,0.8,.333,1.4,2.0,.712,1.3,1.5,1.1,4.2,5.4,2.7,1.6,0.8,7.9
229,Chandler Parsons,MEM,36,19.2,3.0,6.5,.462,1.4,3.4,.421,0.5,0.8,.630,1.0,1.5,0.4,2.1,2.5,1.9,0.5,0.3,7.9
230,Josh Hart,LAL,63,23.2,2.8,6.0,.469,1.2,3.1,.396,1.0,1.5,.702,0.7,1.7,0.7,3.5,4.2,1.3,0.7,0.3,7.9
231,Jerryd Bayless,PHI,39,23.7,2.8,6.7,.416,1.4,3.7,.370,0.9,1.1,.795,1.2,2.3,0.4,1.7,2.1,1.4,0.6,0.2,7.9
232,Tyler Ulis,PHX,71,23.4,3.0,7.8,.388,0.6,2.1,.288,1.2,1.4,.832,1.8,1.7,0.3,1.5,1.8,4.4,1.0,0.1,7.8
233,Justise Winslow,MIA,68,24.7,3.0,7.2,.424,0.7,1.9,.380,1.0,1.5,.635,1.1,2.1,0.9,4.5,5.4,2.2,0.8,0.5,7.8
234,Doug McDermott,DAL,81,21.8,2.9,6.3,.467,1.1,2.7,.426,0.8,1.0,.790,0.7,1.5,0.5,2.0,2.5,1.0,0.2,0.2,7.8
235,Darius Miller,NOP,82,23.7,2.6,5.9,.444,1.8,4.4,.411,0.7,0.8,.866,0.7,2.0,0.2,1.8,2.0,1.4,0.3,0.2,7.8
236,Jarell Martin,MEM,73,22.7,3.0,6.8,.446,0.5,1.3,.347,1.2,1.6,.767,1.2,2.9,1.3,3.0,4.4,1.0,0.5,0.7,7.7
237,Marreese Speights,ORL,52,13.0,2.7,6.7,.395,1.7,4.5,.369,0.8,1.1,.727,0.8,2.0,0.4,2.2,2.6,0.8,0.2,0.4,7.7
238,Marquese Chriss,PHX,72,21.2,2.8,6.6,.423,0.8,2.6,.295,1.3,2.2,.608,1.5,2.8,1.1,4.4,5.5,1.2,0.7,1.0,7.7
239,Alec Burks,UTA,64,16.5,2.7,6.5,.411,0.7,2.2,.331,1.7,1.9,.863,0.9,1.2,0.3,2.7,3.0,1.0,0.6,0.1,7.7
240,Mario Chalmers,MEM,66,21.5,2.5,6.7,.379,0.8,2.9,.277,1.8,2.1,.855,1.8,2.7,0.2,2.2,2.4,3.0,1.2,0.2,7.7
241,Tony Parker,SAS,55,19.5,3.2,7.1,.459,0.2,0.7,.270,1.0,1.4,.705,1.2,0.9,0.1,1.6,1.7,3.5,0.5,0.0,7.7
242,Luke Kennard,DET,73,20.0,2.8,6.4,.443,1.1,2.7,.415,0.9,1.0,.855,0.9,1.2,0.3,2.1,2.4,1.7,0.6,0.2,7.6
243,Mike Muscala,ATL,53,20.0,2.7,5.9,.458,1.2,3.2,.371,1.1,1.2,.919,0.8,1.5,1.1,3.3,4.3,1.0,0.6,0.5,7.6
244,Luc Mbah a Moute,HOU,61,25.6,2.7,5.7,.481,1.0,2.8,.364,1.1,1.6,.684,1.1,1.6,0.4,2.7,3.0,0.9,1.2,0.4,7.5
245,Ben McLemore,MEM,56,19.5,2.8,6.7,.421,1.0,2.8,.346,0.9,1.1,.828,1.1,2.5,0.6,1.9,2.5,0.9,0.7,0.3,7.5
246,Jarrett Jack,NYK,62,25.0,3.0,7.1,.427,0.4,1.4,.291,1.0,1.2,.840,1.9,1.6,0.4,2.7,3.1,5.6,0.6,0.1,7.5
247,Ian Clark,NOP,74,19.7,3.0,6.7,.448,0.8,2.6,.318,0.6,0.8,.763,0.8,1.6,0.1,1.6,1.7,1.5,0.4,0.1,7.4
248,Dwight Buycks,DET,29,14.7,2.8,6.8,.414,0.5,1.6,.333,1.2,1.4,.878,1.3,1.3,0.4,1.0,1.4,2.0,0.7,0.1,7.4
249,Pascal Siakam,TOR,81,20.7,3.1,6.1,.508,0.4,1.6,.220,0.7,1.1,.621,0.8,2.0,1.0,3.5,4.5,2.0,0.8,0.5,7.3
250,Nick Young,GSW,80,17.4,2.5,6.1,.412,1.5,4.1,.377,0.7,0.8,.862,0.5,1.2,0.2,1.3,1.6,0.5,0.5,0.1,7.3
251,Tyler Dorsey,ATL,56,17.4,2.6,6.8,.377,1.3,3.6,.362,0.8,1.1,.714,0.7,1.1,0.3,2.0,2.3,1.4,0.3,0.1,7.2
252,Tomas Satoransky,WAS,73,22.5,2.8,5.3,.523,0.6,1.4,.465,1.0,1.3,.781,1.1,1.8,1.0,2.2,3.2,3.9,0.7,0.2,7.2
253,Kyle O'Quinn,NYK,77,18.0,2.9,5.0,.582,0.1,0.2,.235,1.3,1.6,.772,1.3,2.5,1.6,4.5,6.1,2.1,0.5,1.3,7.1
254,Markelle Fultz,PHI,14,18.1,3.2,7.9,.405,0.0,0.1,.000,0.7,1.5,.476,1.2,1.6,0.9,2.3,3.1,3.8,0.8,0.3,7.1
255,James Ennis,DET,72,22.3,2.5,5.3,.474,0.7,2.1,.333,1.3,1.6,.836,0.8,1.9,1.0,2.1,3.1,1.0,0.7,0.2,7.1
256,Mirza Teletovic,MIL,10,15.9,2.5,5.7,.439,2.1,4.5,.467,0.0,0.0,.000,0.7,1.4,0.3,2.0,2.3,1.0,0.4,0.1,7.1
257,Mason Plumlee,DEN,74,19.5,3.0,5.0,.601,0.0,0.0,.000,1.1,2.4,.458,1.4,2.5,1.8,3.6,5.4,1.9,0.7,1.1,7.1
258,Cody Zeller,CHA,33,19.0,2.6,4.7,.545,0.1,0.1,.667,1.8,2.6,.718,1.0,2.5,2.0,3.3,5.4,0.9,0.4,0.6,7.1
259,Al Jefferson,IND,36,13.4,3.1,5.8,.534,0.0,0.1,.000,0.8,1.0,.833,0.6,1.8,0.8,3.1,4.0,0.8,0.4,0.6,7.0
260,Jamil Wilson,LAC,15,18.2,2.5,5.4,.469,1.8,4.2,.429,0.1,0.3,.500,0.5,2.3,0.2,1.9,2.1,0.7,0.3,0.5,7.0
261,Bryn Forbes,SAS,80,19.0,2.6,6.2,.421,1.1,2.9,.390,0.6,0.9,.667,0.5,1.4,0.1,1.2,1.4,1.0,0.3,0.0,6.9
262,Jakob Poeltl,TOR,82,18.6,3.1,4.7,.659,0.0,0.0,.500,0.7,1.2,.594,1.0,2.6,2.0,2.8,4.8,0.7,0.5,1.2,6.9
263,Bam Adebayo,MIA,69,19.8,2.5,4.9,.512,0.0,0.1,.000,1.9,2.6,.721,1.0,2.0,1.7,3.8,5.5,1.5,0.5,0.6,6.9
264,Raymond Felton,OKC,82,16.6,2.7,6.7,.406,1.0,2.8,.352,0.4,0.5,.818,0.9,1.1,0.3,1.6,1.9,2.5,0.6,0.2,6.9
265,Tony Snell,MIL,75,27.4,2.5,5.7,.435,1.4,3.6,.403,0.5,0.6,.792,0.5,1.5,0.1,1.8,1.9,1.3,0.6,0.4,6.9
266,Shelvin Mack,ORL,69,19.8,2.6,6.0,.430,0.7,2.0,.345,1.0,1.4,.711,1.3,1.3,0.3,2.1,2.4,3.9,0.8,0.1,6.9
267,David West,GSW,73,13.7,3.0,5.2,.571,0.0,0.1,.375,0.8,1.1,.759,1.1,1.6,0.9,2.4,3.3,1.9,0.6,1.0,6.8
268,Nemanja Bjelica,MIN,67,20.5,2.6,5.5,.461,1.1,2.7,.415,0.5,0.7,.800,0.8,2.1,0.8,3.3,4.1,1.3,0.7,0.2,6.8
269,Joe Johnson,HOU,55,21.9,2.7,6.5,.406,0.7,2.6,.276,0.7,0.8,.889,0.9,1.2,0.3,2.9,3.1,1.5,0.3,0.1,6.8
270,Kosta Koufos,SAC,71,19.6,3.1,5.5,.571,0.0,0.0,.000,0.5,1.0,.446,0.7,2.1,2.1,4.5,6.6,1.2,0.7,0.5,6.7
271,Luke Kornet,NYK,20,16.3,2.5,6.2,.392,1.4,4.0,.354,0.4,0.6,.727,0.6,1.4,0.6,2.6,3.2,1.3,0.3,0.8,6.7
272,Malik Monk,CHA,63,13.5,2.4,6.7,.360,1.3,3.9,.342,0.5,0.6,.842,0.8,1.0,0.1,0.9,1.0,1.4,0.3,0.1,6.7
273,Tyler Zeller,MIL,66,16.8,2.8,5.1,.560,0.2,0.4,.357,0.9,1.2,.722,0.7,1.9,1.7,3.0,4.6,0.7,0.2,0.5,6.7
274,Aaron Harrison,DAL,9,25.9,2.1,7.7,.275,1.0,4.8,.209,1.4,1.9,.765,0.3,3.0,0.4,2.2,2.7,1.2,1.0,0.2,6.7
275,Justin Jackson,SAC,68,22.2,2.7,6.2,.442,0.8,2.7,.308,0.4,0.5,.722,0.6,1.2,0.4,2.4,2.8,1.1,0.4,0.2,6.7
276,Isaiah Taylor,ATL,67,17.4,2.4,5.8,.418,0.3,1.2,.250,1.5,2.1,.702,1.3,1.7,0.3,1.1,1.4,3.1,0.5,0.1,6.6
277,Shaquille Harrison,PHX,23,16.7,2.6,5.4,.476,0.3,1.1,.231,1.2,1.7,.737,1.0,1.8,0.4,2.3,2.7,2.4,1.1,0.3,6.6
278,Danuel House,PHX,23,17.5,2.4,5.6,.434,0.7,2.5,.259,1.1,1.3,.806,0.5,1.0,0.6,2.7,3.3,1.1,0.3,0.3,6.6
279,Jordan Crawford,NOP,5,10.7,2.4,5.4,.444,1.6,2.8,.571,0.2,0.2,1.000,1.0,1.4,0.4,0.4,0.8,2.6,0.2,0.2,6.6
280,Maybyner Nene,HOU,52,14.6,2.6,4.6,.569,0.0,0.0,.000,1.3,2.1,.636,0.7,2.4,1.1,2.3,3.4,0.9,0.5,0.3,6.5
281,Maurice Harkless,POR,59,21.4,2.5,5.0,.495,0.8,2.0,.415,0.7,1.0,.712,0.7,1.7,0.8,2.0,2.7,0.9,0.8,0.7,6.5
282,Tyson Chandler,PHX,46,25.0,2.6,4.1,.647,0.0,0.0,.000,1.3,2.0,.624,1.3,2.3,2.9,6.2,9.1,1.2,0.3,0.6,6.5
283,Richaun Holmes,PHI,48,15.5,2.8,5.0,.560,0.1,0.6,.129,0.8,1.2,.661,0.5,2.0,1.2,3.2,4.4,1.3,0.4,0.6,6.5
284,Dragan Bender,PHX,82,25.2,2.3,5.9,.386,1.4,3.9,.366,0.5,0.6,.765,1.4,2.0,0.5,3.9,4.4,1.6,0.3,0.6,6.5
285,Joshia Gray,PHX,5,17.3,2.2,8.2,.268,0.6,2.6,.231,1.4,2.2,.636,1.4,1.6,0.4,1.6,2.0,2.4,1.6,0.4,6.4
286,Sean Kilpatrick,CHI,52,12.3,2.1,5.7,.374,0.9,2.8,.319,1.2,1.4,.889,0.7,0.6,0.1,1.6,1.7,0.9,0.2,0.1,6.3
287,Troy Williams,NYK,21,14.6,2.4,5.2,.468,0.5,1.8,.289,1.0,1.4,.667,0.9,1.6,1.0,2.0,3.0,0.8,1.0,0.2,6.3
288,Jodie Meeks,WAS,77,14.5,2.0,5.1,.399,0.9,2.7,.343,1.3,1.5,.863,0.5,0.7,0.2,1.4,1.6,0.9,0.4,0.1,6.3
289,Trevor Booker,IND,68,17.0,2.6,5.0,.516,0.1,0.5,.242,1.0,1.4,.710,0.9,1.8,1.7,3.0,4.7,1.2,0.4,0.3,6.3
290,T.J. McConnell,PHI,76,22.4,2.8,5.5,.499,0.4,0.8,.435,0.4,0.5,.795,1.5,1.6,0.5,2.5,3.0,4.0,1.2,0.2,6.3
291,Jahlil Okafor,BRK,28,12.6,2.8,4.9,.558,0.0,0.1,.250,0.8,1.0,.724,0.8,1.8,0.8,2.3,3.0,0.4,0.1,0.6,6.3
292,Malcolm Delaney,ATL,54,18.8,2.0,5.3,.382,0.9,2.3,.371,1.4,1.7,.804,1.2,1.5,0.2,1.7,1.9,3.0,0.6,0.1,6.3
293,Isaiah Whitehead,BRK,16,11.2,2.5,5.4,.465,0.4,1.1,.389,0.8,1.2,.684,1.5,1.4,0.2,1.4,1.6,1.2,0.5,0.1,6.2
294,Justin Anderson,PHI,38,13.7,2.3,5.3,.431,0.9,2.7,.330,0.7,1.0,.737,0.4,1.4,0.7,1.8,2.4,0.7,0.4,0.2,6.2
295,Langston Galloway,DET,58,14.9,2.2,5.9,.371,1.3,3.8,.344,0.6,0.7,.805,0.3,0.7,0.2,1.4,1.6,1.0,0.6,0.1,6.2
296,Kobi Simmons,MEM,32,20.1,2.5,5.9,.423,0.3,1.2,.282,0.8,0.8,1.000,1.4,1.9,0.4,1.1,1.6,2.1,0.6,0.2,6.1
297,P.J. Tucker,HOU,82,27.8,2.1,5.4,.390,1.4,3.8,.371,0.5,0.7,.717,0.9,2.5,1.1,4.4,5.6,0.9,1.0,0.3,6.1
298,Boban Marjanovic,LAC,39,8.7,2.0,3.8,.534,0.0,0.0,.000,2.0,2.5,.794,0.9,1.3,1.2,2.5,3.7,0.6,0.3,0.3,6.0
299,Andre Iguodala,GSW,64,25.4,2.3,5.0,.463,0.5,1.8,.282,0.9,1.4,.632,1.0,1.5,0.8,3.1,3.8,3.3,0.8,0.6,6.0
300,Rodney Purvis,ORL,16,18.1,2.2,6.7,.327,0.8,3.2,.250,0.8,0.9,.867,0.6,1.6,0.1,1.6,1.7,1.1,0.2,0.2,6.0
301,Aron Baynes,BOS,81,18.3,2.6,5.5,.471,0.0,0.3,.143,0.7,1.0,.756,1.0,2.5,1.6,3.8,5.4,1.1,0.3,0.6,6.0
302,Gorgui Dieng,MIN,79,16.9,2.4,4.9,.479,0.2,0.8,.311,1.0,1.3,.775,0.7,1.9,1.3,3.2,4.6,0.9,0.6,0.5,5.9
303,Frank Ntilikina,NYK,78,21.9,2.3,6.4,.364,0.6,2.0,.318,0.6,0.9,.721,1.7,2.3,0.5,1.8,2.3,3.2,0.8,0.2,5.9
304,Davis Bertans,SAS,77,14.1,2.1,4.8,.440,1.2,3.3,.373,0.5,0.6,.816,0.5,1.2,0.2,1.8,2.0,1.0,0.3,0.4,5.9
305,Ogugua Anunoby,TOR,74,20.0,2.2,4.7,.471,1.0,2.7,.371,0.5,0.8,.629,0.6,1.8,0.6,1.9,2.5,0.7,0.7,0.2,5.9
306,Kenneth Faried,DEN,32,14.4,2.4,4.6,.514,0.0,0.0,.000,1.1,1.6,.706,0.7,1.6,2.1,2.7,4.8,0.6,0.4,0.4,5.9
307,Quincy Acy,BRK,70,19.4,1.9,5.2,.356,1.5,4.2,.349,0.7,0.9,.817,0.9,2.1,0.6,3.1,3.7,0.8,0.5,0.4,5.9
308,Dorian Finney-Smith,DAL,21,21.3,2.2,5.8,.380,1.0,3.2,.299,0.5,0.7,.733,1.0,2.0,1.0,2.5,3.6,1.2,0.5,0.2,5.9
309,Deyonta Davis,MEM,62,15.2,2.6,4.3,.608,0.0,0.0,.000,0.6,0.9,.667,0.5,2.0,1.2,2.8,4.0,0.6,0.2,0.6,5.8
